Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,25-X6019122,Person,Downtown,1/1/2025,0325,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019124,Person,South Tabor,1/1/2025,0423,Assault Offenses,Aggravated Assault,,,,,1/1/2025,1
,25-X6019156,Person,Portsmouth,1/1/2025,0413,Assault Offenses,Simple Assault,,,,,1/1/2025,2
,25-X6019156,Property,Portsmouth,1/1/2025,0413,Burglary,Burglary,,,,,1/1/2025,1
,25-X6019163,Person,Parkrose,1/1/2025,0307,Assault Offenses,Aggravated Assault,,,,,1/1/2025,1
,25-X6019170,Person,Parkrose,1/1/2025,0202,Assault Offenses,Aggravated Assault,,,,,1/1/2025,1
,25-X6019183,Person,Creston-Kenilworth,12/31/2024,2130,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019272,Property,Mill Park,1/1/2025,0424,Robbery,Robbery,,,,,1/1/2025,1
,25-X6019299,Person,Cully,1/1/2025,2134,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019299,Person,Cully,1/1/2025,2134,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/1/2025,1
,25-X6019303,Property,Lents,1/1/2025,1150,Vandalism,Vandalism,,,,,1/1/2025,1
,25-X6019305,Person,Mill Park,1/1/2025,2030,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019306,Person,Centennial,1/1/2025,1650,Assault Offenses,Aggravated Assault,,,,,1/1/2025,1
,25-X6019310,Person,South Portland,1/1/2025,1300,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/1/2025,1
,25-X6019433,Person,Goose Hollow,1/2/2025,0928,Assault Offenses,Aggravated Assault,,,,,1/2/2025,1
,25-X6019503,Person,Northwest,9/1/2024,0000,Assault Offenses,Intimidation,,,,,1/1/2025,1
,25-X6019513,Person,Lents,1/1/2025,0055,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019518,Person,Vernon,1/2/2025,0815,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019595,Person,Parkrose,1/2/2025,2106,Assault Offenses,Aggravated Assault,,,,,1/2/2025,1
,25-X6019614,Property,Powellhurst-Gilbert,1/3/2025,0235,Vandalism,Vandalism,,,,,1/3/2025,1
,25-X6019615,Person,Creston-Kenilworth,1/3/2025,0227,Assault Offenses,Simple Assault,,,,,1/3/2025,1
,25-X6019633,Person,South Portland,1/2/2025,1442,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019651,Person,Humboldt,1/2/2025,0615,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019664,Person,Centennial,1/1/2025,1910,Assault Offenses,Aggravated Assault,,,,,1/1/2025,3
,25-X6019717,Person,Eliot,1/1/2025,1844,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019732,Person,Kerns,1/2/2025,1106,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019735,Person,Arlington Heights,1/1/2025,2116,Assault Offenses,Simple Assault,,,,,1/1/2025,1
,25-X6019770,Person,Irvington,1/1/2025,1800,Assault Offenses,Aggravated Assault,,,,,1/3/2025,1
,25-X6019777,Person,Cully,1/3/2025,1945,Sex Offenses,Statutory Rape,,,,,1/3/2025,1
,25-X6019884,Person,Other,1/3/2025,1632,Sex Offenses,Statutory Rape,,,,,1/3/2025,1
,25-X6019898,Person,East Columbia,1/4/2025,0536,Assault Offenses,Simple Assault,,,,,1/4/2025,1
,25-X6019910,Person,Richmond,1/2/2025,0952,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019913,Person,Centennial,1/1/2025,0156,Assault Offenses,Aggravated Assault,,,,,1/1/2025,1
,25-X6019913,Property,Centennial,1/1/2025,0156,Vandalism,Vandalism,,,,,1/1/2025,1
,25-X6019924,Person,Hazelwood,1/2/2025,1847,Assault Offenses,Simple Assault,,,,,1/2/2025,1
,25-X6019927,Person,Downtown,12/25/2024,1830,Assault Offenses,Simple Assault,,,,,1/3/2025,1
,25-X6019945,Person,Foster-Powell,1/4/2025,0452,Assault Offenses,Simple Assault,,,,,1/4/2025,1
,25-X6020082,Person,Mill Park,1/4/2025,1919,Assault Offenses,Simple Assault,,,,,1/4/2025,1
,25-X6020122,Person,Northwest,12/31/2024,2000,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/4/2025,1
,25-X6020122,Person,Northwest,12/31/2024,2000,Sex Offenses,Rape,,,,,1/4/2025,1
,25-X6020122,Property,Northwest,12/31/2024,2000,Robbery,Robbery,,,,,1/4/2025,1
,25-X6020122,Society,Northwest,12/31/2024,2000,Weapon Law Violations,Weapons Law Violations,,,,,1/4/2025,1
,25-X6020156,Person,Overlook,1/2/2025,0000,Assault Offenses,Intimidation,,,,,1/2/2025,1
,25-X6020156,Property,Overlook,1/2/2025,0000,Vandalism,Vandalism,,,,,1/2/2025,1
,25-X6020236,Person,Buckman East,1/5/2025,0422,Assault Offenses,Aggravated Assault,,,,,1/5/2025,1
,25-X6020241,Person,Kerns,1/5/2025,1131,Assault Offenses,Simple Assault,,,,,1/5/2025,1
,25-X6020242,Person,Humboldt,1/5/2025,0544,Assault Offenses,Simple Assault,,,,,1/5/2025,1
,25-X6020248,Person,Centennial,1/5/2025,0405,Sex Offenses,Fondling,,,,,1/5/2025,1
,25-X6020255,Person,Old Town/Chinatown,1/5/2025,0819,Assault Offenses,Aggravated Assault,,,,,1/5/2025,1
,25-X6020272,Person,Hayden Island,1/5/2025,1136,Assault Offenses,Simple Assault,,,,,1/5/2025,1
,25-X6020275,Person,Portsmouth,1/5/2025,1313,Assault Offenses,Aggravated Assault,,,,,1/5/2025,1
,25-X6020282,Person,Powellhurst-Gilbert,1/5/2025,2242,Assault Offenses,Simple Assault,,,,,1/5/2025,2
,25-X6020294,Person,Parkrose,1/5/2025,1246,Assault Offenses,Simple Assault,,,,,1/5/2025,1
,25-X6020320,Person,Pearl,1/5/2025,2108,Assault Offenses,Simple Assault,,,,,1/5/2025,1
,25-X6020432,Person,Brentwood-Darlington,1/1/2025,0100,Assault Offenses,Aggravated Assault,,,,,1/2/2025,1
,25-X6020473,Person,King,1/5/2025,0530,Assault Offenses,Aggravated Assault,,,,,1/5/2025,1
,25-X6020601,Property,Pearl,12/20/2024,1430,Larceny Offenses,Theft From Motor Vehicle,,,,,1/4/2025,1
,25-X6021442,Person,Kerns,1/6/2025,1025,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021611,Person,Creston-Kenilworth,1/6/2025,0129,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021611,Property,Creston-Kenilworth,1/6/2025,0129,Larceny Offenses,Theft From Building,,,,,1/6/2025,1
,25-X6021627,Person,Beaumont-Wilshire,1/6/2025,0735,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021629,Person,Lloyd,1/6/2025,1343,Assault Offenses,Aggravated Assault,,,,,1/6/2025,1
,25-X6021656,Person,South Portland,1/6/2025,2037,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021658,Person,Boise,1/6/2025,2250,Assault Offenses,Aggravated Assault,,,,,1/6/2025,1
,25-X6021658,Person,Boise,1/6/2025,2250,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021690,Person,Bridlemile,1/6/2025,1637,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021695,Person,Hazelwood,1/6/2025,1721,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021698,Person,King,1/6/2025,1726,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021699,Person,Multnomah,1/6/2025,1927,Assault Offenses,Simple Assault,,,,,1/6/2025,1
,25-X6021700,Person,Montavilla,1/7/2025,0041,Assault Offenses,Aggravated Assault,,,,,1/7/2025,1
,25-X6021779,Property,Lents,12/9/2024,0000,Vandalism,Vandalism,,,,,1/2/2025,1
,25-X6021791,Person,Hazelwood,1/7/2025,0250,Sex Offenses,Rape,,,,,1/7/2025,1
,25-X6021792,Person,Hazelwood,1/7/2025,0901,Sex Offenses,Rape,,,,,1/7/2025,1
,25-X6021797,Person,Montavilla,1/5/2025,0530,Sex Offenses,Rape,,,,,1/7/2025,1
,25-X6021833,Person,Mill Park,1/7/2025,2029,Assault Offenses,Aggravated Assault,,,,,1/7/2025,3
,25-X6021835,Person,Centennial,1/7/2025,1931,Assault Offenses,Simple Assault,,,,,1/7/2025,1
,25-X6021855,Person,Other,1/6/2025,1145,Sex Offenses,Sodomy,,,,,1/7/2025,1
,25-X6021863,Person,King,1/7/2025,2331,Assault Offenses,Simple Assault,,,,,1/7/2025,1
,25-X6021870,Person,Northwest,1/8/2025,0003,Assault Offenses,Simple Assault,,,,,1/8/2025,1
,25-X6021931,Person,Centennial,12/31/2024,2100,Assault Offenses,Simple Assault,,,,,1/8/2025,1
,25-X6022027,Person,Centennial,1/8/2025,0158,Assault Offenses,Simple Assault,,,,,1/8/2025,1
,25-X6022241,Person,Lents,1/7/2025,0036,Assault Offenses,Simple Assault,,,,,1/7/2025,2
,25-X6022252,Person,North Tabor,1/7/2025,2300,Assault Offenses,Simple Assault,,,,,1/8/2025,1
,25-X6022310,Person,Powellhurst-Gilbert,1/8/2025,0056,Assault Offenses,Intimidation,,,,,1/8/2025,1
,25-X6022363,Person,Piedmont,1/8/2025,1320,Assault Offenses,Simple Assault,,,,,1/8/2025,1
,25-X6022374,Person,Portsmouth,1/8/2025,1611,Assault Offenses,Aggravated Assault,,,,,1/8/2025,2
,25-X6022422,Society,Sumner,1/8/2025,2019,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,,,1/8/2025,1
,25-X6022450,Person,Sunnyside,1/9/2025,0001,Sex Offenses,Sodomy,,,,,1/9/2025,1
,25-X6022563,Person,St Johns,1/9/2025,1125,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022569,Person,Powellhurst-Gilbert,1/9/2025,0410,Assault Offenses,Simple Assault,,,,,1/9/2025,2
,25-X6022573,Person,King,1/9/2025,1047,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022578,Person,East Columbia,1/9/2025,1357,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022601,Person,Montavilla,1/9/2025,1145,Assault Offenses,Aggravated Assault,,,,,1/9/2025,1
,25-X6022613,Person,Richmond,1/9/2025,2319,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022628,Person,St Johns,1/9/2025,2216,Assault Offenses,Aggravated Assault,,,,,1/9/2025,1
,25-X6022650,Person,Parkrose Heights,1/10/2025,0000,Sex Offenses,Sexual Assault With An Object,,,,,1/10/2025,2
,25-X6022697,Person,Lents,1/6/2025,0154,Assault Offenses,Intimidation,,,,,1/6/2025,1
,25-X6022743,Person,Downtown,1/10/2025,1234,Assault Offenses,Simple Assault,,,,,1/10/2025,1
,25-X6022747,Person,Powellhurst-Gilbert,1/9/2025,2156,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022812,Person,Sunderland,1/9/2025,1427,Sex Offenses,Rape,,,,,1/9/2025,1
,25-X6022813,Property,Pearl,1/8/2025,2344,Robbery,Robbery,,,,,1/8/2025,1
,25-X6022821,Person,Powellhurst-Gilbert,1/10/2025,1826,Assault Offenses,Aggravated Assault,,,,,1/10/2025,1
,25-X6022858,Person,Bridlemile,1/10/2025,0327,Assault Offenses,Simple Assault,,,,,1/10/2025,1
,25-X6022862,Person,Powellhurst-Gilbert,1/11/2025,0339,Assault Offenses,Aggravated Assault,,,,,1/11/2025,2
,25-X6022905,Person,Humboldt,1/9/2025,2008,Assault Offenses,Simple Assault,,,,,1/9/2025,1
,25-X6022906,Property,St Johns,1/10/2025,0000,Burglary,Burglary,,,,,1/10/2025,1
,25-X6022907,Person,Pearl,1/10/2025,1209,Assault Offenses,Simple Assault,,,,,1/10/2025,1
,25-X6022909,Person,East Columbia,1/11/2025,0147,Assault Offenses,Simple Assault,,,,,1/11/2025,2
,25-X6022926,Property,Overlook,1/9/2025,0529,Vandalism,Vandalism,,,,,1/9/2025,1
,25-X6022961,Person,Hosford-Abernethy,1/11/2025,1446,Assault Offenses,Simple Assault,,,,,1/11/2025,1
,25-X6022969,Person,Boise,1/10/2025,2037,Assault Offenses,Simple Assault,,,,,1/10/2025,1
,25-X6022971,Person,Parkrose,1/11/2025,0154,Assault Offenses,Simple Assault,,,,,1/11/2025,1
,25-X6023044,Person,Centennial,1/11/2025,2216,Assault Offenses,Simple Assault,,,,,1/11/2025,1
,25-X6023050,Person,Buckman East,1/12/2025,0246,Assault Offenses,Simple Assault,,,,,1/12/2025,1
,25-X6023051,Person,Beaumont-Wilshire,1/11/2025,1910,Assault Offenses,Simple Assault,,,,,1/11/2025,1
