Neighborhood,quarter,year,time,NeighNum,OffenseCount,qtr_numeric,level,pop_2010,pop_2020,age_under18_2010,age_under18_2020,age_1864_2010,age_1864_2020,age_over65_2010,age_over65_2020,median_age_2010,median_age_2020,area_sq_mile_2010,area_sq_mile_2020,pop_black_2010,pop_black_2020,pop_white_2010,pop_white_2020,pop_hispanic_2010,pop_hispanic_2020,rentburd_pct_2010,rentburd_pct_2020,home_owner_pct_2010,home_owner_pct_2020,turnout_2020,no_ged_2010,no_ged_2020,BA_or_higher_2010,BA_or_higher_2020,tree_canopy_pct_2020,poverty_rate_2010,poverty_rate_2020,expDate,pct_white_2020,pct_black_2020,pct_hispanic_2020
Alameda,2015 Q1,2015,1,1,0,2015,4,5212,5455,1306,1323,3353,3028,553,1104,43.15099716186523,45.00181579589844,0.6136364862322807,0.6137377619743347,174,159,4894,5094,174,251,0.4768131971359253,0.3745387196540833,0.8567087650299072,0.8036031126976013,0.9702323079109192,0.02335547655820847,0.01458674017339945,0.7075703144073486,0.7478000521659851,0.3063421547412872,0.0531698577105999,0.04674707353115082,2024-02-09,0.9338221814848763,0.02914757103574702,0.046012832263978
Arbor Lodge,2015 Q1,2015,1,2,4,2015,4,6153,6946,1029,1102,4563,5072,561,772,37.52635955810547,39.35783004760742,0.8677970170974731,0.867944061756134,412,462,5194,5969,424,602,0.3810594379901886,0.3881125450134277,0.7069328427314758,0.6629610061645508,0.8328199982643127,0.1014716625213623,0.02877682074904442,0.4558446109294891,0.5924335718154907,0.1970050483942032,0.1849692761898041,0.08852497488260269,2024-02-09,0.8593435070544199,0.06651310106536136,0.08666858623668298
Ardenwald,2015 Q1,2015,1,3,0,2015,4,4590,4706,973,836,3069,3117,548,753,39.79045867919922,41.55339050292969,1.062516715377569,1.06271493434906,133,128,4277,4344,263,357,0.3231951296329498,0.5366594791412354,0.6301929950714111,0.6128259301185608,0.7701616883277893,0.06643108278512955,0.05580868199467659,0.3019823729991913,0.4035738706588745,0.2956244945526123,0.1130791157484055,0.1186534538865089,2024-02-09,0.9230769230769231,0.027199320016999574,0.07586060348491287
Argay,2015 Q1,2015,1,4,4,2015,4,5997,6285,1394,1156,3567,3862,1036,1268,40.73328018188477,42.86140060424805,2.065234025940299,2.065565586090088,883,1077,3736,4058,1036,899,0.5385614633560181,0.5306164622306824,0.5891163349151611,0.6109195351600647,0.6167625188827515,0.1171105280518532,0.1043443456292152,0.3122736811637878,0.3561830818653107,0.12727376818656921,0.2362490594387054,0.132997989654541,2024-02-09,0.6456642800318217,0.17136038186157518,0.14303898170246618
Arlington Heights,2015 Q1,2015,1,5,1,2015,4,710,813,155,169,443,491,112,153,46.23028182983398,44.86846542358398,0.9174431264400482,0.9176031351089478,16,16,665,735,23,48,0.2586540877819061,0.4513888657093048,0.7422749996185303,0.8237454295158386,0.8651168346405029,0.008600468747317791,0.01907356083393097,0.7947615385055542,0.8386505246162415,0.6063554286956787,0.04205607622861862,0.05219913646578789,2024-02-09,0.9040590405904059,0.01968019680196802,0.05904059040590406
Arnold Creek,2015 Q1,2015,1,6,0,2015,4,2909,3108,728,665,1899,1810,283,633,45.63876724243164,46.80473709106445,1.097121357917786,1.096861004829407,37,56,2712,2854,82,165,0.5054609775543213,0.4869273900985718,0.9341927766799927,0.8977527618408203,0.9212806820869446,0.01078569423407316,0.01157217565923929,0.6865160465240479,0.758704423904419,0.6682811379432678,0.05096745491027832,0.03726279363036156,2024-02-09,0.9182754182754183,0.018018018018018018,0.05308880308880309
Ashcreek,2015 Q1,2015,1,7,1,2015,4,5780,4692,1203,942,4030,2985,547,765,40.66510391235352,41.43398666381836,1.217546253581531,0.9782364368438721,249,122,5175,4231,334,358,0.4616440236568451,0.350637823343277,0.7435487508773804,0.7578597068786621,0.8392839431762695,0.02101830393075943,0.02283034846186638,0.5330638289451599,0.6091029047966003,0.4767475426197052,0.08406522125005722,0.03385492786765099,2024-02-09,0.9017476555839727,0.02600170502983802,0.0763000852514919
Beaumont-Wilshire,2015 Q1,2015,1,8,0,2015,4,5369,6080,1156,1371,3667,3680,546,1030,42.16039657592773,43.22878265380859,0.7381726130843163,0.7382950186729431,238,188,4948,5623,159,330,0.4517833292484283,0.3537295162677765,0.8290528059005737,0.8877150416374207,0.8995109796524048,0.0472860150039196,0.02065070159733295,0.6042613983154297,0.6726440191268921,0.2643204629421234,0.0615609772503376,0.02486259676516056,2024-02-09,0.9248355263157895,0.030921052631578946,0.054276315789473686
Boise,2015 Q1,2015,1,9,1,2015,4,3311,4660,476,580,2617,3780,218,300,32.74554443359375,33.60304641723633,0.4278278388082981,0.4278995096683502,880,733,2280,3580,249,521,0.5222753286361694,0.3579655587673187,0.3915983438491821,0.2757418155670166,0.6698529124259949,0.08399900794029236,0.02905414812266827,0.4819492399692535,0.7179355025291443,0.2114715278148651,0.181072935461998,0.1382335722446442,2024-02-09,0.7682403433476395,0.15729613733905579,0.11180257510729613
Brentwood-Darlington,2015 Q1,2015,1,10,1,2015,4,13004,13536,3033,2609,8927,9430,1044,1496,34.87078857421875,37.59621047973633,1.752439856529236,1.752729654312134,692,759,9984,10293,1806,1877,0.4228071868419647,0.5409826040267944,0.7435979247093201,0.6889423727989197,0.6694748997688293,0.1443937569856644,0.1169149875640869,0.2006421387195587,0.3188092410564423,0.2230570018291473,0.1941686272621155,0.1306175887584686,2024-02-09,0.7604166666666666,0.056072695035460994,0.13866725768321514
